,Nazev,Dispozice,Plocha_v_m2,Cena_v_czk,Url,Mesto,Ulice
0,Pronájem bytu 3+1 67 m²,3+1,67,19000,https://www.sreality.cz/detail/pronajem/byt/3+1/nymburk-nymburk-letcu-r-a-f/2130056012,Nymburk,Letců R. A. F.
1,Pronájem bytu 4+1 88 m²,4+1,88,21000,https://www.sreality.cz/detail/pronajem/byt/4+1/nymburk-nymburk-dlabacova/287314764,Nymburk,Dlabačova
2,Pronájem bytu 3+kk 76 m²,3+kk,76,25000,https://www.sreality.cz/detail/pronajem/byt/3+kk/nymburk-nymburk-v-kolonii/3784512332,Nymburk,V Kolonii
3,Pronájem bytu 4+kk 70 m²,4+kk,70,19900,https://www.sreality.cz/detail/pronajem/byt/4+kk/nymburk-nymburk-sadova/3255378764,Nymburk,Sadová
4,Pronájem bytu 2+kk 40 m²,2+kk,40,14000,https://www.sreality.cz/detail/pronajem/byt/2+kk/nymburk-nymburk-karla-capka/2775528268,Nymburk,Karla Čapka
5,Pronájem bytu 2+kk 40 m²,2+kk,40,13000,https://www.sreality.cz/detail/pronajem/byt/2+kk/nymburk-nymburk-okruzni/3593278284,Nymburk,Okružní
6,Pronájem bytu atypický 33 m²,atypicky,33,15000,https://www.sreality.cz/detail/pronajem/byt/atypicky/nymburk-nymburk-podebradska/2990478156,Nymburk,Poděbradská
7,Pronájem bytu 1+kk 32 m²,1+kk,32,10900,https://www.sreality.cz/detail/pronajem/byt/1+kk/nymburk-nymburk-sadova/3148419916,Nymburk,Sadová
8,Pronájem bytu 3+1 55 m²,3+1,55,16000,https://www.sreality.cz/detail/pronajem/byt/3+1/nymburk-nymburk-jiriho-wolkera/2758415180,Nymburk,Jiřího Wolkera
9,Pronájem bytu 2+kk 42 m²,2+kk,42,14000,https://www.sreality.cz/detail/pronajem/byt/2+kk/nymburk-nymburk-ruzova/1340805964,Nymburk,Růžová
10,Pronájem bytu 2+kk 53 m²,2+kk,53,21000,https://www.sreality.cz/detail/pronajem/byt/2+kk/nymburk-nymburk-k-lesu/4078297932,Nymburk,K Lesu
